ID,Judul,Deskripsi,Genre,Rating,Popularitas,Tanggal
1339713,Obsession,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.","Horror, Thriller",8.194,123.629,2026-05-13
1232569,Pinocchio: Unstrung,"Influenced by a sinister Cricket and created by Geppetto, Pinocchio launches a violent crusade to carve himself into a real boy like his brother James, one piece at a time.","Horror, Fantasy, Mystery",6.565,137.4338,2026-07-22
1386315,The Runner,"Maia Marten, a brilliant London lawyer, has her life shattered by a single call on her morning run: her son has been taken. To get him back, she must keep running, obey every ruthless command, and trust no one-each second a test of how far a mother will go to save her child.","Thriller, Action",6.765,123.862,2026-09-03
1240889,Teenage Sex and Death at Camp Miasma,"After years of slapdash sequels, the Camp Miasma franchise is handed over to an enthusiastic young director for resurrection. But when she visits the original’s star, a now-reclusive actress shrouded in mystery, the two women fall into a blood-soaked world of desire, fear, and delirium.","Comedy, Horror, Romance",6.455,130.0998,2026-08-06
1315772,Minions & Monsters,"This is the rambunctious, ridiculous and totally true story of how the Minions conquered Hollywood, became movie stars, lost everything, unleashed monsters onto the world and then banded together to try and save the planet from the mayhem they had just created.","Adventure, Animation, Comedy, Family, Fantasy",7.555,120.1224,2026-06-24
1323244,Rage of Stars,"A story about a woman from the International Special Forces Unit, who has a premonition about the impending end of humanity.","Action, Science Fiction, Thriller",6.778,114.3201,2026-08-06
1469930,Project Sacrifice,"While investigating their father’s death inside a major bridge construction company, Yuda and his family attempt to prove that the frequent, deadly workplace accidents are actually human sacrifices.","Horror, Thriller",3.917,109.7721,2026-05-13
82976,The Novices,"Sister Agnès runs away from her convent in Brittany and seeks refuge in Paris with prostitute Mona Lisa. With absolutely no qualifications, the young novice has a hard job finding work, so Mona Lisa tries to teach her the ropes of the oldest profession of them all!","Comedy, Drama",4.8,86.9629,1970-04-01
1408162,Vishwanath & Sons,A celebrated Olympian shooter travels to America looking for a donor to help his sick child — but unexpected romance complicates his search.,"Drama, Romance, Comedy",7.3,94.6603,2026-08-14
687163,Project Hail Mary,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction.","Science Fiction, Adventure",8.639,99.5931,2026-03-15
1228834,The Fix,"Disillusioned by the end of the war in Afghanistan, a group of disgraced, war-torn ex-CIA operatives set out to Tehran to take down a life-changing score.","Action, Thriller",7.5,101.2301,2026-09-10
